101m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ad6 Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 5
1adr Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1adu Sequence Parse Errors: 70; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1adv Sequence Parse Errors: 70; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ae7 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1aeb Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aed Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aee Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aef Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aeg Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aeh Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aei Sequence Parse Errors: 150; Helix Parse Errors: 0; Helix Extraction Errors: 60; Helix to Digit Errors: 0
1aej Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aek Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aem Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aen Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aeo Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aep Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aeq Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aes Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aet Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aeu Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aev Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aew Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1af7 Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1af8 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1afh Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1afr Sequence Parse Errors: 162; Helix Parse Errors: 0; Helix Extraction Errors: 36; Helix to Digit Errors: 34
1afv Sequence Parse Errors: 92; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 0
1agm Sequence Parse Errors: 51; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1agr Sequence Parse Errors: 88; Helix Parse Errors: 0; Helix Extraction Errors: 28; Helix to Digit Errors: 7
1ags Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ah7 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ahd Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1ahr Sequence Parse Errors: 13; Helix Parse Errors: 1; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1aie Sequence Parse Errors: 3; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 1
1aii Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1ail Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ain Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1aip Sequence Parse Errors: 250; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ais Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 8
1aj3 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aj4 Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aj5 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 7
1aj8 Sequence Parse Errors: 58; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1aj9 Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 4
1ajg Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ajh Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ak0 Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1ak4 Sequence Parse Errors: 50; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 6
1ak8 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1akd Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1akh Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 5
1akk Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1al0 Sequence Parse Errors: 105; Helix Parse Errors: 0; Helix Extraction Errors: 33; Helix to Digit Errors: 2
1al6 Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1ala Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1alu Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 5
1alv Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 6
1alw Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 7
1am4 Sequence Parse Errors: 90; Helix Parse Errors: 0; Helix Extraction Errors: 44; Helix to Digit Errors: 12
1am9 Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 8
1amz Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1an2 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 1
1an4 Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 2
1ann Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1anv Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1anw Sequence Parse Errors: 50; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1anx Sequence Parse Errors: 75; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1aoa Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 5
1aof Sequence Parse Errors: 88; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 0
1aoi Sequence Parse Errors: 90; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 12
1aok Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 2
1aom Sequence Parse Errors: 88; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 0
1aon Sequence Parse Errors: 658; Helix Parse Errors: 0; Helix Extraction Errors: 127; Helix to Digit Errors: 0
1aoq Sequence Parse Errors: 88; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 0
1aor Sequence Parse Errors: 95; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 0
1aos Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1aow Sequence Parse Errors: 24; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1aoy Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1apc Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1apl Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 6
1apx Sequence Parse Errors: 92; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aqe Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1aqt Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1aqv Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1aqw Sequence Parse Errors: 68; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 0
1aqx Sequence Parse Errors: 68; Helix Parse Errors: 0; Helix Extraction Errors: 31; Helix to Digit Errors: 0
1ar4 Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1arq Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1arr Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aru Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1arv Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1arw Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1arx Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ary Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1as0 Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1as2 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1as3 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1ash Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1atj Sequence Parse Errors: 144; Helix Parse Errors: 0; Helix Extraction Errors: 60; Helix to Digit Errors: 0
1au1 Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1au7 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 1
1aua Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1aue Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 8
1aui Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 3
1aum Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 1
1auw Sequence Parse Errors: 144; Helix Parse Errors: 0; Helix Extraction Errors: 37; Helix to Digit Errors: 38
1av8 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1avc Sequence Parse Errors: 52; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 0
1avh Sequence Parse Errors: 50; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1avm Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1avo Sequence Parse Errors: 112; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 14
1avr Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1avs Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1aw9 Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1awc Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 3
1ax8 Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1axi Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1axn Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1ayg Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ayp Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ayx Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1azi Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1azs Sequence Parse Errors: 65; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 12
1azt Sequence Parse Errors: 62; Helix Parse Errors: 0; Helix Extraction Errors: 19; Helix to Digit Errors: 0
1b01 Sequence Parse Errors: 12; Helix Parse Errors: 1; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1b06 Sequence Parse Errors: 102; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1b0n Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1b0x Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 1
1b1b Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1b1g Sequence Parse Errors: 8; Helix Parse Errors: 1; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1b1u Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1b22 Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1b25 Sequence Parse Errors: 193; Helix Parse Errors: 0; Helix Extraction Errors: 76; Helix to Digit Errors: 0
1b28 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 2
1b3q Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 6
1b3u Sequence Parse Errors: 92; Helix Parse Errors: 1; Helix Extraction Errors: 37; Helix to Digit Errors: 0
1b43 Sequence Parse Errors: 54; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 0
1b47 Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 32; Helix to Digit Errors: 15
1b48 Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1b4a Sequence Parse Errors: 73; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1b4c Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1b4f Sequence Parse Errors: 58; Helix Parse Errors: 0; Helix Extraction Errors: 32; Helix to Digit Errors: 0
1b4n Sequence Parse Errors: 192; Helix Parse Errors: 0; Helix Extraction Errors: 71; Helix to Digit Errors: 0
1b4p Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1b4u Sequence Parse Errors: 70; Helix Parse Errors: 0; Helix Extraction Errors: 29; Helix to Digit Errors: 10
1b4w Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 0
1b59 Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 5
